,auction_site,auction_url_num,auction_place,auction_date,artist_name_kor,artist_name_eng,artist_comment,lot_no,make_year,title_kor,currency,money,unit_cd,size_length,size_width,mix_cd,mix_size,canvas,medium_eng,medium_kor,description,estimate_high,estimate_low,edition,image_name,title_eng
0,seoul,1,"SeoulAuction, Seoul",1998-10-25,조경주,"Cho, Kyungjoo",,1,1998,아침/ Morning. 1998,KRW,0.0,cm,33.3,24.2,height,0.0,0,"natural color on Korean paper, janggi","장지위에 분채, 석채",{},300000,250000,,,아침/ Morning. 1998
1,seoul,1,"SeoulAuction, Seoul",1998-10-25,조경주,"Cho, Kyungjoo",,2,1998,"장미의 하루/ Day of rose, 1998",KRW,0.0,cm,45.7,53.2,height,0.0,0,"natural color on Korean paper, janggi","장지위에 분채, 석채",{},800000,600000,,,"장미의 하루/ Day of rose, 1998"
2,seoul,1,"SeoulAuction, Seoul",1998-10-25,조경주,"Cho, Kyungjoo",,3,1998,"어느 가을날/ One autumn day, 1998",KRW,800000.0,cm,72.8,61.1,height,0.0,0,ink & color on paper,"장지에 먹, 분채",{},1500000,1000000,,,"어느 가을날/ One autumn day, 1998"
3,seoul,1,"SeoulAuction, Seoul",1998-10-25,서현진,"Seo, Hyunjin",,4,1997,"우연한 만남, 푸른색/ Encounter : Blue, 1997",KRW,0.0,cm,180.0,100.0,height,0.0,0,mixed media on canvas,캔버스에 혼합재료,{},4000000,3000000,,,"우연한 만남, 푸른색/ Encounter : Blue, 1997"
4,seoul,1,"SeoulAuction, Seoul",1998-10-25,서현진,"Seo, Hyunjin",,5,1997,"우연한 만남, 흑백/ Encounter : Black & White, 1997",KRW,0.0,cm,180.0,100.0,height,0.0,0,mixed media on canvas,캔버스에 혼합재료,{},4000000,3000000,,,"우연한 만남, 흑백/ Encounter : Black & White, 1997"
